CustomerId,Exited
15601012,0.93
15734762,0.83
15586757,0.1
15590888,0.2
15726087,0.25
15769504,0.13
15801832,0.44
15632826,0.13
15794413,0.1
15677117,0.12
15686999,0.1
15588350,0.44
15713354,0.31
15750772,0.23
15628824,0.2
15631681,0.17
15763218,0.08
15743538,0.02
15807194,0.01
15717231,0.2
15762110,0.04
15638424,0.05
15609804,0.01
15762091,0.53
15614847,0.31
15609299,0.05
15643967,0.14
15701741,0.17
15575409,0.28
15620751,0.02
15712303,0.12
15571305,0.29
15617082,0.02
15734438,0.01
15660422,0.01
15758056,0.01
15647546,0.14
15799932,0.02
15669253,0.04
15591010,0.6
15810711,0.09
15798470,0.75
15668575,0.64
15728829,0.09
15628144,0.23
15777452,0.3
15680421,0.09
15718673,0.32
15735106,0.06
15574072,0.18
15600583,0.17
15658969,0.58
15713378,0.03
15689061,0.24
15655794,0.0
15603203,0.06
15670029,0.02
15744913,0.03
15774630,0.62
15694566,0.09
15650244,0.0
15701376,0.09
15593365,0.11
15603465,0.37
15668889,0.79
15642160,0.07
15608338,0.91
15658577,0.65
15723105,0.16
15661656,0.04
15586970,0.36
15700549,0.1
15669782,0.55
15715939,0.05
15679663,0.06
15754168,0.19
15638068,0.0
15755722,0.17
15580068,0.0
15737647,0.74
15624595,0.05
15697270,0.13
15588449,0.09
15696744,0.09
15759456,0.04
15606133,0.08
15779182,0.52
15732281,0.14
15590810,0.51
15700325,0.05
15681220,0.04
15609676,0.25
15699523,0.71
15691647,0.13
15722611,0.51
15678427,0.09
15756824,0.62
15578747,0.01
15727811,0.81
15702337,0.01
15571476,0.16
15682639,0.0
15804864,0.03
15626156,0.15
15808389,0.14
15568573,0.71
15630641,0.32
15617507,0.06
15743456,0.03
15668347,0.02
15661936,0.3
15777067,0.2
15789753,0.18
15677871,0.16
15659475,0.08
15720338,0.1
15720110,0.07
15730394,0.2
15743673,0.0
15681705,0.01
15745030,0.09
15668032,0.08
15726960,0.01
15672756,0.1
15762928,0.2
15707011,0.53
15681671,0.09
15772781,0.68
